IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
10.050833333333333,5.47,9.18,30.39,41.22,7.2,14.25,22.05,10.57,22.2,4.88,6.31,53.17,21.38,20.43,12.25,5.45,28.23,236.75,1.5,4.6375,1.66,7.85,5.85
6.88,15.92,11.5,27.88,41.22,23.02,13.55,19.95,17.93,26.7,13.43,6.16,53.55,29.05,50.88,17.45,19.52,52.12,47.6,2.0,5.293333333333333,1.69,8.45,3.77
6.2,15.52,9.93,53.15,38.6,12.78,12.4,17.27,18.98,20.85,31.9,8.24,33.35,33.88,48.05,19.12,7.47,89.52,77.48,1.62,5.26,2.7,10.05,7.7
11.78,13.85,8.88,56.08,60.1,13.25,11.0,14.57,15.93,26.68,40.75,26.94,52.98,32.9,53.58,18.05,10.98,94.75,72.28,1.7,5.1,3.34,8.9,11.6
17.73,16.12,10.5,51.52,47.05,12.0,12.38,18.95,17.7,21.45,20.7,31.08,70.12,36.48,32.5,32.65,19.62,72.05,244.7,2.23,5.95,4.66,8.25,8.72
15.26,13.88,16.3,68.5,52.43,9.1,13.32,23.65,33.1,32.65,26.25,18.7,80.47,47.47,26.12,31.43,31.48,63.38,91.00090909090908,3.23,8.15,3.92,11.95,8.4
10.06,22.67,28.62,40.62,72.4,7.3,13.28,31.08,54.35,15.45,25.48,18.34,90.75,67.27,29.15,24.45,47.1,67.18,103.15000000000002,2.52,7.05,11.59,16.98,7.45
8.79,44.27,37.0,38.14,77.65,6.1,15.2,21.85,49.15,16.98,22.68,26.28,83.3,78.08,33.23,44.6,36.85,72.65,128.0,2.95,8.3,14.05,19.62,8.57
9.04,30.27,44.53,29.71,75.85,5.25,16.15,11.9,59.45,20.43,26.42,27.81,78.85,98.0,23.8,47.5,43.0,71.12,131.02666666666667,2.55,9.95,11.3,19.73,19.18
11.7,30.73,36.05,28.2,68.07,4.12,16.9,11.23,61.75,15.53,24.43,27.06,56.02,86.05,27.68,20.4,29.35,56.27,379.43,4.8,7.78,9.15,25.35,42.55
9.04,34.4,11.8,23.5,59.67,3.88,16.42,13.5,45.48,14.27,22.35,19.06,42.15,49.88,19.3,20.83,13.62,59.33,327.2,4.42,6.8,9.63,25.65,44.03
6.34,34.48,0.0,24.42,52.02,3.47,15.68,12.57,40.15,13.9,18.5,14.34,39.02,48.02,17.5,20.95,24.42,44.42,273.12,2.8,5.97,9.33,25.32,40.7
4.22,37.3,2.9,25.32,45.65,3.2,15.52,9.8,34.8,12.43,17.5,10.73,43.83,38.2,15.23,13.55,21.53,35.23,217.32,2.65,5.33,8.47,22.42,33.75
3.8,26.02,0.1,30.37,42.75,1.57,15.0,7.95,51.7,10.35,13.12,7.71,27.7,42.4,13.7,9.12,13.9,30.5,261.58,2.5,4.85,7.22,23.65,29.3
3.83,25.07,0.55,19.98,44.12,1.3,14.15,7.8,46.1,10.93,14.8,7.78,79.07,43.12,13.75,8.78,14.72,26.97,231.78,3.38,4.33,6.35,24.23,27.85
