IHBAS-CPCB,Shadipur-CPCB
1.82,1.95
1.45,1.25
1.56,1.88
1.61,1.92
0.94,2.47
0.95,2.13
1.08,2.31
1.34,4.46
2.9,7.5
4.83,6.27
5.95,4.34
7.22,5.3
12.45,5.96
14.72,4.61
12.4,3.29
9.43,2.86
6.55,2.25
4.78,4.39
3.43,10.62
2.14,6.9
1.72,6.67
2.86,4.76
5.05,1.71
2.95,1.94
2.7,0.65
3.41,1.72
2.475882352941176,2.07
1.57375,1.81
1.0126666666666666,1.62
0.903125,1.92
1.4525000000000001,2.86
3.61,3.54
7.18,5.34
10.41,8.87
11.42,6.84
9.59,4.1
8.23,2.35
5.99,4.06
4.68,4.03
3.19,2.33
