IHBAS-CPCB,East-Arjun-Nagar-CPCB,DTU-CPCB,Shadipur-CPCB
0.62,6.01,2.16,0.9066666666666667
0.34,12.68,1.72,0.8075
0.32,9.72,2.18,0.6950000000000001
0.25,3.63,2.09,0.5463636363636364
0.3,4.3,0.25,0.6525000000000001
0.19,7.35,0.49,0.5357142857142857
0.14,6.7,1.34,0.6457142857142858
0.18,5.86,3.15,0.8188235294117646
0.47,4.84,2.48,1.179047619047619
0.84,3.99,2.74,0.2
0.71,5.26,2.242142857142857,0.03
1.76,12.4,2.3653846153846154,1.05
1.4,6.83,2.4491666666666667,1.94
1.32,14.4,2.7454545454545456,1.33
1.05,12.14,2.8850000000000002,0.6
0.92,8.51,2.8063636363636366,0.51
1.24,11.09,2.758181818181818,1.13
0.8,9.45,2.6527272727272724,0.94
1.0,4.98,2.458181818181818,0.12
0.56,8.39,0.82,1.1710526315789473
0.34,8.88,2.5045454545454544,1.165625
0.35,8.2,2.418181818181818,1.1514285714285712
0.39,14.79,2.3890909090909087,1.0307142857142857
0.4,8.15,2.542,1.0133333333333334
0.36,5.94,2.6744444444444446,0.7575
0.42,14.88,2.488888888888889,0.67
0.49,6.27,2.179,0.7546153846153847
0.51,5.31,2.010909090909091,0.12
0.48,8.94,2.341,0.4
0.38,9.66,2.181818181818182,0.1
0.3,12.93,2.0300000000000002,0.44
0.33,4.58,2.202,0.15
0.49,8.76,2.1179999999999994,0.53
0.4,10.08,2.226,0.32
