IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,Lodhi-Road-IMD,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,CRRI-Mathura-Road,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC
28.04,11.82,8.52,8.32,12.18,5.05,29.52,14.38,18.6,57.18,16.8,23.88,11.55,12.25,19.72,19.2,10.2,23.32,30.38,72.43,31.0,10.38,7.65,13.68,8.65,11.02,27.4,16.82,19.1,12.01,32.022000000000006
18.84,9.3,7.35,8.4,13.0,3.58,31.58,13.03,18.52,52.17,16.6,13.62,13.73,11.12,19.32,15.4,8.18,11.88,33.6,62.29,21.02,9.05,6.53,13.75,7.7,11.77,10.7,13.73,9.05,11.29,28.613
15.34,10.3,6.5,8.88,11.0,4.65,28.29,11.7,16.0,48.97,16.62,14.2,12.25,12.65,19.55,12.15,7.6,15.7,31.55,54.32,25.42,6.65,10.4475,11.9,9.6,9.35,10.5,12.5,16.8,10.81,21.833333333333332
12.55,14.2,8.97,13.43,10.72,3.9,30.78,11.32,17.73,48.32,16.6,13.03,14.23,12.43,26.5,12.45,7.38,15.43,31.73,49.74,29.62,7.12,6.67,13.3,9.65,8.43,16.65,13.28,5.4,10.31,22.547000000000004
11.84,16.43,7.75,14.9,11.15,3.27,33.86,12.62,18.7,45.47,16.96,14.03,14.88,15.18,18.27,15.42,7.03,15.18,28.28,46.08,30.22,7.65,7.75,13.62,9.35,15.58,11.6,14.65,7.95,12.31,20.697272727272725
15.07,18.85,8.02,17.68,12.25,3.27,33.73,10.53,18.03,55.24,17.11,18.32,11.77,21.62,17.86,19.6,7.15,24.27,27.23,42.25,26.42,8.8,12.6,14.7,10.68,16.48,13.68,15.38,15.35,12.13,21.069999999999997
18.48,12.95,6.25,12.3,20.57,2.23,30.63,11.6,21.17,61.91,17.13,18.62,11.65,73.03,17.96,18.72,7.28,26.506666666666664,28.5,85.5,22.4,9.25,17.4,16.02,8.92,40.28,18.52,15.73,14.35,10.05,24.218333333333334
19.15,19.7,4.88,12.32,18.15,2.9,27.09,12.05,21.27,72.58,17.25,18.15,11.33,103.83,15.04,17.57,8.43,25.0,31.08,52.84,29.55,11.07,14.73,19.07,8.35,22.65,17.4,20.18,16.88,12.74,21.238333333333333
18.9,33.28,6.22,14.4,17.4,2.27,30.1,13.15,19.4,70.57,17.18,15.23,9.83,107.9,20.66,21.08,10.35,27.07,27.35,38.39,26.35,14.83,11.35,16.4,8.65,13.05,14.1,20.57,18.0,20.51,25.08
18.49,21.75,5.33,12.4,15.6,0.85,29.93,33.0,19.68,60.82,16.96,7.3,9.45,99.0,17.95,19.2,8.53,12.4,26.98,52.34,22.9,14.73,16.38,17.0,7.27,8.47,17.27,16.12,33.58,18.03,24.0
14.06,19.15,4.4,12.07,14.6,0.65,27.37,17.12,13.15,56.3,16.19,7.32,9.93,55.43,28.68,15.75,7.72,11.95,24.73,51.61,20.15,18.25,13.5,18.1,9.83,9.65,11.7,13.38,36.6,17.12,15.714166666666669
14.33,14.97,8.23,14.4,16.05,1.0,26.9,17.65,15.17,57.45,16.15,11.58,8.55,34.88,33.67,18.05,9.0,14.28,22.65,35.61,29.93,19.17,19.9,17.38,9.93,11.9,8.25,12.5,31.15,19.9,13.895000000000001
11.72,12.15,6.72,9.28,10.82,1.1,27.7,16.7,11.7,59.91,16.56,8.47,7.18,20.4,20.26,12.55,7.88,11.22,18.65,34.96,21.38,17.32,14.3,15.12,8.77,8.53,7.53,11.85,35.85,26.41,14.110000000000003
9.2,12.97,6.2,12.78,9.3,0.5,27.55,17.68,9.57,58.18,17.08,6.02,8.43,24.68,23.67,10.62,6.45,8.18,20.42,28.18,22.35,16.02,12.62,14.35,10.32,7.18,6.0,10.02,24.83,22.38,12.386153846153848
14.08,10.7,6.3,11.6,9.73,1.07,27.54,16.38,13.4,60.45,16.96,7.32,8.52,31.2,21.12,11.4,6.5,9.43,21.02,29.9,22.12,14.88,12.02,14.85,7.83,6.88,6.18,10.25,28.02,22.42,10.9
13.07,10.05,6.35,9.65,11.2,3.55,27.79,15.25,14.62,61.75,16.52,8.43,7.53,46.12,27.08,10.83,6.92,13.35,22.33,27.65,21.32,13.53,15.27,20.5,6.75,7.88,7.72625,11.1,29.77,20.74,11.74846153846154
11.31,12.45,6.0,9.88,9.2,5.18,33.16,15.53,16.7,66.23,17.5,9.28,7.78,51.95,25.67,12.2,7.8,11.82,21.82,24.96,21.3,16.98,15.38,21.25,6.73,8.47,8.659333333333333,11.12,33.2,16.08,14.387500000000001
11.02,10.95,8.47,10.75,10.1,5.0,44.35,16.1,17.98,69.44,19.03,11.68,9.38,46.35,24.29,12.65,9.05,15.88,19.7,24.37,32.28,17.35,16.48,19.05,7.2,9.45,10.233571428571427,11.8,29.0,15.14,16.0525
11.27,15.55,12.95,12.1,14.22,4.78,34.0,19.5,19.2,70.79,21.0,14.88,10.1,38.58,23.29,16.55,10.35,22.68,21.6,25.35,51.55,20.1,30.12,18.45,8.18,11.9,13.01076923076923,12.38,42.25,11.93,18.986666666666668
